"","beta_1","beta_2","beta_3","beta_4"
"Intercept",-0.175115770411141,-0.515872697052931,0.280148144958136,1.31567983383091
"V1",1.09555150687093,0.545656554288015,0.961052478141886,1.00426599707768
"V2",0.685068947036686,1.34366854401832,1.22246300180443,0.819909925548914
"V3",1.18599369287397,1.53444684824024,1.41133944438309,1.24257030847457
"V4",0,0,0,0
"V5",0,0,0,0
"V6",0.806479506891116,1.14728171800596,0.838295695335073,0.505715660739953
"V7",0.920747579309604,0.851949364547764,0.757911698856268,1.14116317646368
"V8",0,0,0,0
"V9",0,0,0,0
"V10",0,0,0,0
"V11",0,0,0,0
"V12",0,0,0,0
"V13",0,0,0,0
"V14",0,0,0,0
"V15",0,0,0,0
"V16",0,0,0,0
"V17",0,0,0,0
"V18",0,0,0,0
"V19",0,0,0,0
"V20",0,0,0,0
"V21",0,0,0,0
"V22",0,0,0,0
"V23",0,0,0,0
"V24",0,0,0,0
"V25",0,0,0,0
"V26",0,0,0,0
"V27",0,0,0,0
"V28",0,0,0,0
"V29",0,0,0,0
"V30",0,0,0,0
"V31",0,0,0,0
"V32",0,0,0,0
"V33",0,0,0,0
"V34",0,0,0,0
"V35",0,0,0,0
"V36",0,0,0,0
"V37",0,0,0,0
"V38",0,0,0,0
"V39",0,0,0,0
"V40",0,0,0,0
"V41",0,0,0,0
"V42",0,0,0,0
"V43",0,0,0,0
"V44",0,0,0,0
"V45",0,0,0,0
"V46",0,0,0,0
"V47",0,0,0,0
"V48",0,0,0,0
"V49",0,0,0,0
"V50",0,0,0,0
"V51",0,0,0,0
"V52",0,0,0,0
"V53",0,0,0,0
"V54",0,0,0,0
"V55",0,0,0,0
"V56",0,0,0,0
"V57",0,0,0,0
"V58",0,0,0,0
"V59",0,0,0,0
"V60",0,0,0,0
"V61",0,0,0,0
"V62",0,0,0,0
"V63",0,0,0,0
"V64",0,0,0,0
"V65",0,0,0,0
"V66",0,0,0,0
"V67",0,0,0,0
"V68",0,0,0,0
"V69",0,0,0,0
"V70",0,0,0,0
"V71",0,0,0,0
"V72",0,0,0,0
"V73",0,0,0,0
"V74",0,0,0,0
"V75",0,0,0,0
"V76",0,0,0,0
"V77",0,0,0,0
"V78",0,0,0,0
"V79",0,0,0,0
"V80",0,0,0,0
"V81",0,0,0,0
"V82",0,0,0,0
"V83",0,0,0,0
"V84",0,0,0,0
"V85",0,0,0,0
"V86",0,0,0,0
"V87",0,0,0,0
"V88",0,0,0,0
"V89",0,0,0,0
"V90",0,0,0,0
"V91",0,0,0,0
"V92",0,0,0,0
"V93",0,0,0,0
"V94",0,0,0,0
"V95",0,0,0,0
"V96",0,0,0,0
"V97",0,0,0,0
"V98",0,0,0,0
"V99",0,0,0,0
"V100",0,0,0,0
